,Country Name,Country Code,Year,CO2 emissions (kt),GDP growth (annual %),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),Total natural resources rents (% of GDP)
0,Afghanistan,AFG,1986,210674.15840606057,3.745493434297752,-0.608560873,322001.61090361816,4.739355602061453
1,Afghanistan,AFG,1988,210674.15840606057,3.745493434297752,0.586318312,322001.61090361816,4.739355602061453
2,Afghanistan,AFG,1990,2046.87,3.745493434297752,0.202433956,11630.79506,4.739355602061453
3,Afghanistan,AFG,1992,1525.47,3.745493434297752,11.52252442,11548.26269,4.739355602061453
4,Afghanistan,AFG,1994,1493.59,3.745493434297752,9.864262066,11733.04832,4.739355602061453
5,Afghanistan,AFG,1996,1407.3,3.745493434297752,4.10302205,13231.10066,4.739355602061453
6,Afghanistan,AFG,1998,1318.0,3.745493434297752,3.882930605,15063.73502,4.739355602061453
7,Afghanistan,AFG,2000,1078.12,3.745493434297752,1.443803024,14205.32527,4.739355602061453
8,Afghanistan,AFG,2002,1403.03,3.745493434297752,6.449321478,15255.39353,1.276148807
9,Afghanistan,AFG,2004,1292.307,1.414117981,3.933177688,15572.01238,0.458919792
10,Afghanistan,AFG,2006,2283.68,5.357403251,4.139678035,17264.16633,0.504174403
11,Afghanistan,AFG,2008,4375.64,3.924983822,2.002333262,21349.18799,0.601665825
12,Afghanistan,AFG,2010,8576.15,14.36244147,2.894904104,28585.90265,0.625332613
13,Afghanistan,AFG,2012,10208.13,12.75228709,4.077627729,30928.57237,0.684675469
14,Afghanistan,AFG,2014,9281.34,2.724543364,3.657576065,31165.8158,0.5427565
15,Afghanistan,AFG,2016,9294.93,2.260314201,2.581549399,30864.98363,0.617409905
16,Afghanistan,AFG,2018,10972.38,1.189228128,2.885207973,32580.49106,0.855264249
17,Algeria,DZA,1986,210674.15840606057,0.400001003,3.330932724,322001.61090361816,7.79806707
18,Algeria,DZA,1988,210674.15840606057,1.000005491,2.747106054,322001.61090361816,10.30236569
19,Algeria,DZA,1990,62936.9,0.80000058,2.494067638,122219.4894,18.37737698
20,Algeria,DZA,1992,66844.6,1.800002303,2.323751863,126550.6264,16.38745317
21,Algeria,DZA,1994,73606.2,0.899996552,2.107746513,137206.0895,16.43384401
22,Algeria,DZA,1996,76123.8,4.09999847,1.763319561,147141.9815,21.17192421
23,Algeria,DZA,1998,74649.1,5.100003609,1.510573237,148305.1158,14.62708104
24,Algeria,DZA,2000,80046.8,3.800000002,1.402290858,161798.7973,26.68689739
25,Algeria,DZA,2002,82404.3,5.599999996,1.348866952,165592.4705,23.47093852
26,Algeria,DZA,2004,89492.7,4.3,1.407273215,182785.5452,26.15731301
27,Algeria,DZA,2006,99808.7,1.700000006,1.441137296,197745.7365,34.19132242
28,Algeria,DZA,2008,107745.5,2.399999999,1.708971675,206120.0102,32.86509136
